,artist_id,artists_name,track_id,song_name,album_name,album_type,release_date,popularity,danceability,energy,key,loudness,instrumentalness,liveness,acousticness,tempo,mode,valence,duration_ms,time_signatures
0,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,0pJfsPQesJyCnR5XWZyvj9,This,+,album,2011-09-09,49,0.588,0.0929,11,-14.301,0.00539,0.128,0.95,152.139,1,0.502,195840,4
1,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,4zrKN5Sv8JS5mqnbVcsul7,Celestial,Celestial,single,2022-09-29,80,0.574,0.852,2,-1.248,0.0,0.161,0.0529,123.038,1,0.501,209027,4
2,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,0afhq8XCExXpqazXczTSve,Galway Girl,÷ (Deluxe),album,2017-03-03,75,0.624,0.876,9,-3.374,0.0,0.327,0.0735,99.943,1,0.781,170827,4
3,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,4btFHqumCO31GksfuBLLv3,Overpass Graffiti,=,album,2021-10-29,72,0.52,0.849,9,-3.794,0.0,0.119,0.00253,175.908,0,0.774,236907,4
4,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,5DFi6D7SrYHRIgZbY5MqqE,F64,F64,single,2023-01-19,73,0.751,0.618,6,-6.643,0.0,0.129,0.596,93.728,0,0.707,204894,4
5,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6K8qKeWo5MsFED7wCR6Kop,Sing,x (Deluxe Edition),album,2014-06-21,66,0.818,0.67,8,-4.451,1.22e-06,0.0601,0.304,119.988,0,0.939,235382,4
6,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),No.6 Collaborations Project,album,2019-07-12,70,0.64,0.647,5,-8.114,0.0,0.0801,0.124,92.979,0,0.546,197867,4
7,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,÷ (Deluxe),album,2017-03-03,72,0.589,0.242,6,-10.517,0.0,0.0887,0.914,89.749,1,0.257,221107,4
8,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,51ChrwmUPDJvedPQnIU8Ls,Dive,÷ (Deluxe),album,2017-03-03,70,0.761,0.386,4,-6.158,0.0,0.0953,0.355,134.943,1,0.526,238440,3
9,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,Don't,x (Deluxe Edition),album,2014-06-21,68,0.806,0.608,1,-7.008,0.0,0.635,0.0113,95.049,1,0.849,219840,4
